name,description,price,image,compatibleModels,sku,quantity
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 11,ANT-IPH-11,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 11 Pro,ANT-IPH-11P,9
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 11 Pro Max,ANT-IPH-11P-MAX,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 12,ANT-IPH-12,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 12 Pro Max,ANT-IPH-12P-MAX,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 13,ANT-IPH-13,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 13 Pro,ANT-IPH-13P,7
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 13 Pro Max,ANT-IPH-13P-MAX,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 14,ANT-IPH-14,10
Black Antique,"Case Design: Solid charcoal with dark green undertones with cream outline Finger Strap Color: Solid charcoal with dark green undertones  and cream outline Case Features: Comfortable finger loop that can be used with either hand, Wallet pouch that is designed to fit 2 cards (as it breaks in, more cards can be added), Adjustable kickstand to prop up your phone, Vegan leather material, Shock-absorbing inner pad",19.99,"BlackAntique1.jpg, BlackAntique2.jpg, BlackAntique3.jpg",iPhone 14 Pro,ANT-IPH-14P,10
